ID,Query,Object Type,View Type,Length
1,show all customer,customer,table,17
2,show all customer yesterday,customer,table,27
3,show my customer with status in-progress,customer,table,40
4,list customer where priority is high,customer,table,36
5,show all customer,customer,table,17
6,show all customer last week,customer,table,27
7,show my customer with status pending,customer,table,36
8,list customer where priority is medium,customer,table,38
9,show all customer,customer,table,17
10,show all customer last month,customer,table,28
11,show my customer with status approved,customer,table,37
12,list customer where priority is low,customer,table,35
13,show all customer,customer,table,17
14,show all customer last 3 months,customer,table,31
15,show my customer with status rejected,customer,table,37
16,list customer where priority is high,customer,table,36
17,show all customer,customer,table,17
18,show all customer this quarter,customer,table,30
19,show my customer with status open,customer,table,33
20,list customer where priority is medium,customer,table,38
21,show all customer,customer,table,17
22,show all customer this year,customer,table,27
23,show my customer with status closed,customer,table,35
24,list customer where priority is low,customer,table,35
25,show all customer,customer,table,17
26,show all customer today,customer,table,23
27,show my customer with status in-progress,customer,table,40
28,list customer where priority is high,customer,table,36
29,show all customer,customer,table,17
30,show all customer yesterday,customer,table,27
31,show my customer with status pending,customer,table,36
32,list customer where priority is medium,customer,table,38
33,show all customer,customer,table,17
34,show all customer last week,customer,table,27
35,show my customer with status approved,customer,table,37
36,list customer where priority is low,customer,table,35
37,show all customer,customer,table,17
38,show all customer last month,customer,table,28
39,show my customer with status rejected,customer,table,37
40,list customer where priority is high,customer,table,36
41,show all customer,customer,table,17
42,show all customer last 3 months,customer,table,31
43,show my customer with status open,customer,table,33
44,list customer where priority is medium,customer,table,38
45,show all customer,customer,table,17
46,show all customer this quarter,customer,table,30
47,show my customer with status closed,customer,table,35
48,list customer where priority is low,customer,table,35
49,show all customer,customer,table,17
50,show all customer this year,customer,table,27
51,show my customer with status in-progress,customer,table,40
52,list customer where priority is high,customer,table,36
53,show all customer,customer,table,17
54,show all customer today,customer,table,23
55,show my customer with status pending,customer,table,36
56,list customer where priority is medium,customer,table,38
57,show all customer,customer,table,17
58,show all customer yesterday,customer,table,27
59,show my customer with status approved,customer,table,37
60,list customer where priority is low,customer,table,35
61,show all customer,customer,table,17
62,show all customer last week,customer,table,27
63,show my customer with status rejected,customer,table,37
64,list customer where priority is high,customer,table,36
65,show all customer,customer,table,17
66,show all customer last month,customer,table,28
67,show my customer with status open,customer,table,33
68,list customer where priority is medium,customer,table,38
69,show all customer,customer,table,17
70,show all customer last 3 months,customer,table,31
71,show my customer with status closed,customer,table,35
72,list customer where priority is low,customer,table,35
73,show all customer,customer,table,17
74,show all customer this quarter,customer,table,30
75,show my customer with status in-progress,customer,table,40
76,list customer where priority is high,customer,table,36
77,show all customer,customer,table,17
78,show all customer this year,customer,table,27
79,show my customer with status pending,customer,table,36
80,list customer where priority is medium,customer,table,38
81,show all customer,customer,table,17
82,show all customer today,customer,table,23
83,show my customer with status approved,customer,table,37
84,show top 10 customer where status is open,customer,table,41
85,show customer sorted by age desc,customer,table,32
86,filter customer where city is equal to 200000,customer,table,45
87,show customer created last month,customer,table,32
88,show top 10 customer where status is closed,customer,table,43
89,show customer sorted by city asc,customer,table,32
90,filter customer where type is not equal to 500000,customer,table,49
91,show customer created last 3 months,customer,table,35
92,show top 10 customer where status is in-progress,customer,table,48
93,show customer sorted by type desc,customer,table,33
